23/03/17-08:40;0;0.0;61.3;57.81581826611034;8217.12222222222;90.64834373678441;61.3;73.56;277.0
23/03/17-08:54;0;0.0;5.200000000000001;5.044597701149425;159.28888888888883;12.620970203945845;5.2;6.24;40.0
23/03/17-17:44;0;0.0;0.7999999999999998;0.7753846153846153;3.7333333333333343;1.932183566158592;0.8;0.96;6.0
23/03/17-17:44;0;0.0;19.6;18.53878453038674;987.1555555555556;31.419031741216273;19.6;23.519999999999996;92.0
23/03/17-17:44;1;0.0;14.300000000000002;13.773642213642214;823.788888888889;28.701722751237234;14.3;17.16;92.0
23/03/17-17:59;0;0.0;14.7;14.02786936236392;601.1222222222223;24.517793991756726;14.7;17.64;79.0
23/03/17-18:02;0;0.0;5.6040000000000045;5.540166478312126;198.52824048096082;14.090004985129026;5.604;6.724799999999999;104.0
23/03/17-21:39;0;0.0;269.9180000000003;265.8502133483265;349429.1776312625;591.1253484932469;269.918;323.90160000000003;3852.0
23/03/17-21:39;1;0.0;284.75800000000055;280.21179211368326;413312.1918196434;642.893608476273;284.758;341.7095999999999;3852.0
25/03/17-10:10;0;0.0;269.0720000000001;264.9641293607132;337472.70422444807;580.924008992956;269.072;322.8864;3794.0
25/03/17-10:10;1;0.0;339.01200000000193;332.35906018405854;498652.4086733519;706.1532473007201;339.012;406.8144;3794.0
