numero de neuronas, error en entrenamiento, error en prueba, falsos positivos, falsos negativos
2, 128.514473506, 0.2423, 1544, 879
3, 20.812151607, 0.036, 42, 318
4, 17.6503168778, 0.0409, 24, 385
5, 16.7405705314, 0.0387, 26, 361
6, 18.555512993, 0.0418, 3, 415
7, 11.9643433084, 0.0227, 35, 192
8, 14.154325117, 0.0251, 34, 217
9, 15.1176808029, 0.0413, 14, 399
10, 16.9177728529, 0.0463, 10, 453
